                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.74761,                 1.5649,                 1.0627,                 1.1131,                0.41842,                0.31768,                0.35892,                0.23616,                 0.4225,                0.29902,                0.32919,                0.20804,                 1.1875,                 2.7797,                 1.6102,                 1.4998,              0.0006634,              0.0006634,              0.0006634
                     36,                0.73189,                 1.5701,                 1.1127,                 1.0976,                0.34766,                 0.4249,                0.38182,                0.25653,                0.32236,                 0.3969,                0.35349,                0.22503,                 1.1253,                 2.8484,                 1.5309,                 1.5265,              0.0006535,              0.0006535,              0.0006535
                     37,                0.72543,                 1.5576,                 1.0716,                 1.0963,                0.36696,                0.41071,                0.38172,                0.26611,                0.36576,                0.40895,                0.36346,                0.24049,                 1.1245,                 2.4598,                 1.4641,                 1.4488,              0.0006436,              0.0006436,              0.0006436
                     38,                0.72855,                 1.5404,                 1.0406,                 1.1042,                0.43176,                0.34581,                0.39647,                0.27528,                0.44162,                0.33278,                0.37566,                0.25726,                 1.1469,                 2.5875,                 1.7557,                 1.4557,              0.0006337,              0.0006337,              0.0006337
                     39,                0.75946,                 1.5976,                  1.062,                 1.1179,                 0.9422,                0.28372,                0.41628,                0.26245,                0.92445,                0.27921,                0.38652,                0.24025,                 1.1812,                  2.784,                 1.5556,                 1.5305,              0.0006238,              0.0006238,              0.0006238
                     40,                0.72022,                 1.5281,                 1.0358,                 1.0809,                0.60984,                0.32144,                0.37044,                0.25029,                0.39528,                0.32867,                0.35021,                0.23335,                 1.1427,                 2.5431,                  1.642,                 1.4714,              0.0006139,              0.0006139,              0.0006139
                     41,                0.68266,                 1.5174,                0.99055,                 1.0676,                0.65729,                0.33761,                 0.4321,                0.31051,                0.65245,                0.33299,                0.41482,                0.27372,                 1.1868,                 2.6189,                 1.5926,                 1.4976,               0.000604,               0.000604,               0.000604
                     42,                0.70474,                 1.4916,                0.98018,                 1.0963,                0.40828,                0.42155,                0.46232,                0.32516,                0.36162,                0.41254,                0.42544,                0.27412,                 1.0595,                 2.5863,                  1.535,                 1.4147,              0.0005941,              0.0005941,              0.0005941
                     43,                0.70764,                 1.5009,                0.95095,                 1.0761,                 0.5431,                0.35656,                0.48078,                0.34025,                0.49546,                0.40273,                0.45523,                0.31809,                 1.1491,                 2.7248,                 1.5732,                 1.4878,              0.0005842,              0.0005842,              0.0005842
                     44,                0.70503,                 1.4407,                0.92083,                 1.0789,                0.23856,                0.42244,                0.34002,                0.23766,                0.23394,                0.48724,                0.31953,                0.21839,                 1.0718,                 2.8088,                  1.588,                 1.3981,              0.0005743,              0.0005743,              0.0005743
                     45,                0.66209,                 1.4486,                0.91309,                 1.0595,                0.44934,                0.31675,                0.40321,                0.28417,                0.43213,                0.30797,                0.37759,                0.26356,                  1.055,                 2.7038,                 1.4784,                 1.3605,              0.0005644,              0.0005644,              0.0005644
                     46,                0.66607,                 1.4233,                0.91309,                 1.0659,                0.36092,                0.35564,                0.37659,                0.25609,                0.34927,                0.35019,                0.35212,                0.23057,                 1.1293,                 2.7331,                 1.6347,                 1.4397,              0.0005545,              0.0005545,              0.0005545
                     47,                  0.711,                 1.4949,                0.94633,                 1.0828,                0.47539,                0.41841,                0.46272,                0.32522,                0.52995,                0.37571,                0.44536,                0.30221,                 1.1732,                 2.7965,                 1.5279,                 1.4557,              0.0005446,              0.0005446,              0.0005446
